algorithm,n_nodes,c,seed,total_time,K,history
degree_threshold,600,1,7,0.1246,44.0,"[[600, 0.0], [300, 0.0029], [150, 0.007], [75, 0.0142], [56, 0.0436], [46, 0.0688], [44, 0.1246], [44, 0.1246]]"
goldberg_liu,600,1,7,,,null
high_thetas,600,1,7,0.1052,57.0,"[[600, 0.0], [300, 0.0105], [150, 0.018], [75, 0.0264], [65, 0.055], [60, 0.0689], [58, 0.0839], [57, 0.1052], [57, 0.1052]]"
ns_binary_search,600,1,7,1081.4199,33.0,"[[600, 0.0], [300, 0.0307], [150, 0.0391], [75, 0.0482], [37, 100.2992], [34, 679.3281], [33, 1056.3137], [33, 1081.4199]]"
betweenness,600,5,7,0.5806,302.0,"[[600, 0.0], [302, 0.2924], [302, 0.5806]]"
degree,600,5,7,0.0055,302.0,"[[600, 0.0], [302, 0.0028], [302, 0.0055]]"
degree_connected,600,5,7,0.1645,302.0,"[[600, 0.0], [302, 0.082], [302, 0.1645]]"
degree_discount,600,5,7,0.0696,304.0,"[[600, 0.0], [304, 0.0245], [304, 0.0696]]"
degree_threshold,600,5,7,0.0104,152.0,"[[600, 0.0], [300, 0.0028], [152, 0.0066], [152, 0.0104]]"
goldberg_liu,600,5,7,,,null
high_thetas,600,5,7,0.0957,58.0,"[[600, 0.0], [300, 0.0104], [150, 0.0177], [75, 0.0264], [65, 0.0533], [60, 0.0689], [58, 0.0857], [58, 0.0957]]"
ns_binary_search,600,5,7,1080.0257,37.0,"[[600, 0.0], [300, 0.0273], [150, 0.0379], [75, 0.0475], [56, 154.3904], [46, 155.1461], [41, 282.9222], [39, 456.4514], [38, 620.8135], [37, 776.4636], [37, 1080.0257]]"
betweenness,600,10,7,0.8802,303.0,"[[600, 0.0], [303, 0.2927], [303, 0.8802]]"
degree,600,10,7,0.0084,303.0,"[[600, 0.0], [303, 0.0028], [303, 0.0084]]"
degree_connected,600,10,7,0.2493,303.0,"[[600, 0.0], [303, 0.0827], [303, 0.2493]]"
degree_discount,600,10,7,0.0706,304.0,"[[600, 0.0], [304, 0.0254], [304, 0.0706]]"
degree_threshold,600,10,7,0.0137,153.0,"[[600, 0.0], [300, 0.0031], [153, 0.0067], [153, 0.0137]]"
goldberg_liu,600,10,7,,,null
high_thetas,600,10,7,0.0921,65.0,"[[600, 0.0], [300, 0.0104], [150, 0.0178], [75, 0.0269], [65, 0.056], [65, 0.0921]]"
